Id|Sponsor|Status|Start|Completion|Type|Submission|Conditions|Interventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758028|The University of Hong Kong|Recruiting|Aug 2005|Nov 2021|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751957|Duke University|Completed|Jul 2016|Jul 2020|Interventional|Apr 2016|Autistic Disorder,Autism Spectrum Disorder|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758483|Universidade Federal do Rio de Janeiro|Completed|Mar 2017|Jan 2018|Interventional|Apr 2016|Diabetes Mellitus|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759848|Istanbul Medeniyet University|Completed|Jan 2012|Dec 2014|Observational|May 2016|Tuberculosis,Lung Diseases,Pulmonary Disease|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758860|University of Roma La Sapienza|Active, not recruiting|Jun 2016|Sep 2020|Observational [Patient Registry]|Apr 2016|Diverticular Diseases,Diverticulum,Diverticulosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757209|Consorzio Futuro in Ricerca|Completed|Apr 2016|Jan 2018|Interventional|Apr 2016|Asthma|Fluticasone,Xhance,Budesonide,Formoterol Fumarate,Salmeterol Xinafoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752438|Ankara University|Unknown status|May 2016|Jul 2017|Observational [Patient Registry]|Apr 2016|Hypoventilation|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753543|Ruijin Hospital|Unknown status|Nov 2015|Nov 2019|Interventional|Apr 2016|Lymphoma|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757508|Washington University School of Medicine|Completed|Mar 2016|Jul 2017|Interventional|Apr 2016||Vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753530|Orphazyme|Completed|Aug 2017|Jan 2021|Interventional|Apr 2016|Myositis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754817|Novo Nordisk A/S|Completed|Apr 2016|Oct 2016|Observational|Apr 2016|Diabetes Mellitus|Liraglutide,Xultophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759276|Daniel Alexandre Bottino|Completed|May 2015|Dec 2015|Observational|Apr 2016|Hypertension|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750956|Bulent Ecevit University|Completed|Jun 2015|Mar 2016|Observational|Apr 2016|Periodontal Diseases|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752113|Institut für Pharmakologie und Präventive Medizin|Completed|Apr 2016|May 2019|Interventional|Apr 2016|Diabetes Mellitus|Metformin,Empagliflozin,Linagliptin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752698|The Third Xiangya Hospital of Central South University|Active, not recruiting|Jan 2015|Dec 2021|Interventional|Jun 2015|Appendicitis,Stomach Ulcer,Cholecystolithiasis,Cholelithiasis,Gallstones|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755779|Tel Aviv Medical Center|Unknown status|Jun 2016|Jun 2017|Observational|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750384|Medicines for Malaria Venture|Terminated|May 2016|Jul 2016|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754609|James Cook University, Queensland, Australia|Completed|Sep 2016|Oct 2019|Interventional|Apr 2016|Hookworm Infections,Celiac Disease|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755701|Soonchunhyang University Hospital|Unknown status|Jul 2016|Dec 2018|Interventional|Apr 2016|Ascites|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751762|Member Companies of the Opioid PMR Consortium|Recruiting|Nov 2017|Oct 2022|Observational|Apr 2016|Chronic Pain,Substance-Related Disorders,Opioid-Related Disorders,Narcotic-Related Disorders,Behavior|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756299|Marmara University|Completed|Jun 2014|Apr 2015|Interventional|Apr 2016|Sleep Apnea Syndromes,Sleep Apnea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750709|Cycle Pharmaceuticals Ltd.|Completed|Oct 2015|Jan 2016|Interventional|Apr 2016|Tyrosinemias|Nitisinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753907|Yonsei University|Completed|Jun 2015||Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755467|Cutera Inc.|Completed|May 2016|Apr 2017|Interventional|Apr 2016|Hemangioma|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
